Timestamp,correct_math_questions,height,wingspan,snapchat_streaks,instagram_followers,knee_to_floor_distance,shoe_size,hand_size,weekly_job_work_hours,weekly_homework_hours,exam_study_hours,daily_exercise_minutes,colleges_applied_to
10/22/2024 9:04:56,63,63,61,32,800,17,7,6,0,20,2,75,
10/22/2024 9:07:51,62,66.5,65.625,36,387,20,8.5,7.625,0,30,6,30,
10/22/2024 9:08:47,73,71,66.375,1,1281,20,11,8.375,40,10,1,30,
10/22/2024 9:09:59,45,67,65,43,1172,20,10.5,8.75,97,12,5,60,15
10/22/2024 9:10:03,56,70,69.125,20,0,20,10.5,7.75,0,8,0.5,20,
10/22/2024 9:10:05,35,66,66,21,539,19,9.5,7.7,40,14,7,30,17
10/22/2024 9:10:20,67,61,62,0,322,17,5,7,9,28,3,30,
10/22/2024 9:10:22,47,70,67,0,244,20,9,7,0,12,13,180,
10/22/2024 9:10:46,53,65,64,21,1.333,18,4.5,7,35,12,7,90,20
10/22/2024 9:11:03,55,69,70.5,0,49,22,9.5,8.25,0,17,2,60,
10/22/2024 9:11:07,30,72,70.5,5,200,21,10,7,0,17,3,90,
10/22/2024 9:11:21,50,72,69.5,4,584,21,10.5,8,40,12,1,60,18
10/22/2024 9:12:13,53,68,68,0,0,21,10,8,5,4,4.5,60,10
10/22/2024 9:12:15,46,63,64,49,1287,18,6,7,21,6,2,60,18
10/22/2024 9:12:24,43,70,68,0,211,21,10,7.5,0,10,2,90,
10/22/2024 9:12:47,42,64,63,0,443,20.2,5,6.6,0,8,4,60,
10/22/2024 9:12:51,54,60,58.2,2,391,17.8,5,6.7,3,10,4,40,
10/22/2024 9:13:07,50,67,59.3,0,390,20,7,7.25,0,8,1,20,9
10/22/2024 9:13:47,40,63,52.5,0,429,19.5,5.5,6.5,0,10,1.5,15,15
10/22/2024 9:13:58,42,66,65,5,407,20,6,7,72,30,4,110,
10/22/2024 9:14:00,38,66,65,0,56,19.5,6,7.5,0,35,4,100,
10/22/2024 9:17:17,54,66,65,2,364,18,8.5,8,10,8,1,150,16
10/22/2024 9:17:21,71,63.5,57.5,19,1055,16.5,3.5,6.75,0,19,2.5,120,
10/22/2024 9:18:02,47,72,71,26,1135,21,12,9,40,12,1,90,12